pack_type,pack_id,date,url,item,type,rarity
The Show Pack,2ab6fb7cc5a14eb185c33a31ef69417f,4/28/2021,https://theshownation.com/items/0068416e55804a4dd11b5ebbdde1386b,Santa Maria!,Unlockable,silver
The Show Pack,2ab6fb7cc5a14eb185c33a31ef69417f,4/28/2021,https://theshownation.com/items/4a11791c655ba29d3978d655a68516e5,Jordan Minch,MLB Card,common
The Show Pack,2ab6fb7cc5a14eb185c33a31ef69417f,4/28/2021,https://theshownation.com/items/24cc88c5956669234ce6c4dcb803c715,Shaun Anderson,MLB Card,common
The Show Pack,2ab6fb7cc5a14eb185c33a31ef69417f,4/28/2021,https://theshownation.com/items/d1fe9485be324217b5d180d04dfcb87f,Charlie Madden,MLB Card,common
The Show Pack,2ab6fb7cc5a14eb185c33a31ef69417f,4/28/2021,https://theshownation.com/items/ffdd99e05df27c02a2fb1669d49e0c76,Zack Wheeler,MLB Card,silver
The Show Pack,4f10ff7121e94a3ca7163798675fa4e8,4/28/2021,https://theshownation.com/items/4d410063822cd9be28f86701c0bc3a31,Blue River Stadium,Stadium,bronze
The Show Pack,4f10ff7121e94a3ca7163798675fa4e8,4/28/2021,https://theshownation.com/items/538e490f6a73108a40ea757734a00b95,Chris Flexen,MLB Card,common
The Show Pack,4f10ff7121e94a3ca7163798675fa4e8,4/28/2021,https://theshownation.com/items/ead6ffd83972fc3ce6b5c18a2bf9aed8,Jhonleider Salinas,MLB Card,common
The Show Pack,4f10ff7121e94a3ca7163798675fa4e8,4/28/2021,https://theshownation.com/items/f4abd0461a46858c25c67fba44827f91,Chasen Bradford,MLB Card,common
The Show Pack,4f10ff7121e94a3ca7163798675fa4e8,4/28/2021,https://theshownation.com/items/6e91d06a7bd6b43a1bdd70dd9068bdc7,Edwin Rios,MLB Card,bronze
The Show Pack,cda2606226454c6eb1348b51ed3feb76,4/28/2021,https://theshownation.com/items/4c0a7bdd46ceb88d497eec5de360328e,Wrigley Field™,Stadium,silver
The Show Pack,cda2606226454c6eb1348b51ed3feb76,4/28/2021,https://theshownation.com/items/824adc5954e9e6ce2a7c0b0ef584359f,Jonathan Loaisiga,MLB Card,bronze
The Show Pack,cda2606226454c6eb1348b51ed3feb76,4/28/2021,https://theshownation.com/items/9f1dd83ac3b7bcbf034240fad7ff7d4d,Ronnie Freeman,MLB Card,common
The Show Pack,cda2606226454c6eb1348b51ed3feb76,4/28/2021,https://theshownation.com/items/86bef77c5a59d7f1195cb2fbe242882d,Cameron Maybin,MLB Card,bronze
The Show Pack,cda2606226454c6eb1348b51ed3feb76,4/28/2021,https://theshownation.com/items/f8327b26a178ba557a59ace3378c2f95,Jose Berrios,MLB Card,silver
The Show Pack,ab6f3f999c4243689bb8bbe4085838d6,4/28/2021,https://theshownation.com/items/e1a0d53a534014217b7961d1870ee76b,Green Valley Stadium,Stadium,bronze
The Show Pack,ab6f3f999c4243689bb8bbe4085838d6,4/28/2021,https://theshownation.com/items/4b52ddb7a0b6ac8553536d004c895b59,Domingo Robles,MLB Card,common
The Show Pack,ab6f3f999c4243689bb8bbe4085838d6,4/28/2021,https://theshownation.com/items/1a80e1730711858663512246fb2dc280,Derek Fisher,MLB Card,common
The Show Pack,ab6f3f999c4243689bb8bbe4085838d6,4/28/2021,https://theshownation.com/items/84ea3a7910c3ca971d4718adf0f707f2,Brian Schales,MLB Card,common
The Show Pack,ab6f3f999c4243689bb8bbe4085838d6,4/28/2021,https://theshownation.com/items/5fbdd72522c178f8b79dffd7ed6c93cc,Mitch Keller,MLB Card,bronze
The Show Pack,c18e57872be344058834b37eae6c1ee3,4/28/2021,https://theshownation.com/items/5d4a18500f626b6a8cb05c1b3c4d095a,Statesman Park,Stadium,bronze
The Show Pack,c18e57872be344058834b37eae6c1ee3,4/28/2021,https://theshownation.com/items/3bc143c3f9e05d4077f369a77bf13ed4,Kevin Lenik,MLB Card,common
The Show Pack,c18e57872be344058834b37eae6c1ee3,4/28/2021,https://theshownation.com/items/7799793ede7aab114cf8c41641725518,Michael Baumann,MLB Card,common
The Show Pack,c18e57872be344058834b37eae6c1ee3,4/28/2021,https://theshownation.com/items/4ebac4c3fe54ae49d9e64370bfd51ec3,Alex Cobb,MLB Card,common
The Show Pack,c18e57872be344058834b37eae6c1ee3,4/28/2021,https://theshownation.com/items/c05225ad3adfb3f4b73a7d7d04d3c2d7,Travis d'Arnaud,MLB Card,silver
The Show Pack - Bundle - 5 Packs,75f5ed9f89af46098a313565193e21ef,4/28/2021,https://theshownation.com/items/3f4bd1f117b18afa131c48de15486652,The Show Pack,Pack,bronze
The Show Pack - Bundle - 5 Packs,75f5ed9f89af46098a313565193e21ef,4/28/2021,https://theshownation.com/items/3f4bd1f117b18afa131c48de15486652,The Show Pack,Pack,bronze
The Show Pack - Bundle - 5 Packs,75f5ed9f89af46098a313565193e21ef,4/28/2021,https://theshownation.com/items/3f4bd1f117b18afa131c48de15486652,The Show Pack,Pack,bronze
The Show Pack - Bundle - 5 Packs,75f5ed9f89af46098a313565193e21ef,4/28/2021,https://theshownation.com/items/3f4bd1f117b18afa131c48de15486652,The Show Pack,Pack,bronze
The Show Pack - Bundle - 5 Packs,75f5ed9f89af46098a313565193e21ef,4/28/2021,https://theshownation.com/items/3f4bd1f117b18afa131c48de15486652,The Show Pack,Pack,bronze
Ballin' is a Habit Pack,2e254e7e09ee42959ad39a7e446fc148,4/28/2021,https://theshownation.com/items/5499df60b3f5b017d19ba4f03165deda,Johan Oviedo,MLB Card,common
Ballin' is a Habit Pack,2e254e7e09ee42959ad39a7e446fc148,4/28/2021,https://theshownation.com/items/a64a4266817245d41ccdc9a9475a6a17,Daz Cameron,MLB Card,common
Ballin' is a Habit Pack,2e254e7e09ee42959ad39a7e446fc148,4/28/2021,https://theshownation.com/items/c90068e708766cac5d3717688d130cf7,Josh Lowe,MLB Card,common
Ballin' is a Habit Pack,2e254e7e09ee42959ad39a7e446fc148,4/28/2021,https://theshownation.com/items/8433ddfeaa9887f62f36e8c05b6e7022,Jason Adam,MLB Card,bronze
Ballin' is a Habit Pack,2e254e7e09ee42959ad39a7e446fc148,4/28/2021,https://theshownation.com/items/a22f0b57a763bdb95e7a8911daadde36,Lourdes Gurriel Jr.,MLB Card,gold
The Show Pack,b3305927f047412fb266b322369a6407,4/28/2021,https://theshownation.com/items/226982ab9123047f22996f01ae642335,EQT TW,Equipment,gold
The Show Pack,b3305927f047412fb266b322369a6407,4/28/2021,https://theshownation.com/items/417dedd041fefe5dbdea9cd22d424d86,Jeffrey Passantino,MLB Card,common
The Show Pack,b3305927f047412fb266b322369a6407,4/28/2021,https://theshownation.com/items/942424e9a2e043699c43c090b6c02bde,Chase Shugart,MLB Card,common
The Show Pack,b3305927f047412fb266b322369a6407,4/28/2021,https://theshownation.com/items/6ae7824fc72133c295b43f04ea9dfa39,Richard Bleier,MLB Card,common
The Show Pack,b3305927f047412fb266b322369a6407,4/28/2021,https://theshownation.com/items/5b6e8759af7b231482ca0b70b92ed709,Luis Avilan,MLB Card,bronze
The Show Pack,d28561b3548e404fab8e988990b824ce,4/28/2021,https://theshownation.com/items/61c0bc869c02703fe2244a64cf2860d9,Pro-SRZ™ Batter's Elbow Guard,Equipment,silver
The Show Pack,d28561b3548e404fab8e988990b824ce,4/28/2021,https://theshownation.com/items/797188ee3a7ea183a8c844f526c214b4,Anthony Bass,MLB Card,bronze
The Show Pack,d28561b3548e404fab8e988990b824ce,4/28/2021,https://theshownation.com/items/22c0b2a19a05fff19e92fab5a0b7728b,Mario Sanchez,MLB Card,common
The Show Pack,d28561b3548e404fab8e988990b824ce,4/28/2021,https://theshownation.com/items/42abb461b5a51fb0d354de2ba3c42c1a,Yadier Molina,MLB Card,silver
The Show Pack,d28561b3548e404fab8e988990b824ce,4/28/2021,https://theshownation.com/items/0d55e009fa8e9e8ec97aa091dfaa28e0,Maikel Franco,MLB Card,bronze
The Show Pack,e7bfb4f54c4e457fbba0ac2ca64f49d8,4/28/2021,https://theshownation.com/items/16cc85a8b7069a9e10783e3152cf2203,Film Study,Equipment,silver
The Show Pack,e7bfb4f54c4e457fbba0ac2ca64f49d8,4/28/2021,https://theshownation.com/items/f8758b0bd918708613c2c550c67327ba,Drew Ward,MLB Card,common
The Show Pack,e7bfb4f54c4e457fbba0ac2ca64f49d8,4/28/2021,https://theshownation.com/items/678ef2366ccbd2b30add8cc799fe8a4e,Jake Lowery,MLB Card,common
The Show Pack,e7bfb4f54c4e457fbba0ac2ca64f49d8,4/28/2021,https://theshownation.com/items/af2709fa48f16a67ba208cbd9a755b57,Dakota Bacus,MLB Card,common
The Show Pack,e7bfb4f54c4e457fbba0ac2ca64f49d8,4/28/2021,https://theshownation.com/items/ed81fc623e5116007c266af9aa3f7560,Cal Quantrill,MLB Card,bronze
The Show Pack,f70d24ee8a464a1b8b88149bc7d0befc,4/28/2021,https://theshownation.com/items/08a9b8693c1c3ce49fd327977f837abf,Miami Marlins BP Home,Unlockable,gold
The Show Pack,f70d24ee8a464a1b8b88149bc7d0befc,4/28/2021,https://theshownation.com/items/8c67b58f15141ab4d1e6319d80b3c434,Franchy Cordero,MLB Card,common
The Show Pack,f70d24ee8a464a1b8b88149bc7d0befc,4/28/2021,https://theshownation.com/items/df5dc3b37c85f44ca47bc48aef476224,Wilmer Difo,MLB Card,bronze
The Show Pack,f70d24ee8a464a1b8b88149bc7d0befc,4/28/2021,https://theshownation.com/items/e73dbb390cb1dd2a3e9d71c3ac806044,Kyle Crick,MLB Card,bronze
